Provincia,Partido,Localidad,Link Indec,Otros,"0,256 Mbps","0,375 Mbps","0,5 Mbps","0,512 Mbps","0,625 Mbps","0,75 Mbps",1 Mbps,"1,25 Mbps","1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps",3 Mbps,"3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,11 Mbps,12 Mbps,13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,19 Mbps,20 Mbps,21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,11 Mbps","25,5 Mbps",26 Mbps,30 Mbps,31 Mbps,32 Mbps,34 Mbps,35 Mbps,36 Mbps,38 Mbps,39 Mbps,40 Mbps,41 Mbps,45 Mbps,46 Mbps,49 Mbps,50 Mbps,55 Mbps,58 Mbps,59 Mbps,60 Mbps,61 Mbps,62 Mbps,64 Mbps,65 Mbps,66 Mbps,70 Mbps,75 Mbps,78 Mbps,80 Mbps,82 Mbps,83 Mbps,85 Mbps,90 Mbps,92 Mbps,95 Mbps,100 Mbps
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,,,,,,,,,,,,,,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,Dudignac,6588040,,,,,,,,8,,,,,,25,,,247,,,46,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,,,,,,,,1,,,199,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,Patricios,6588110,,,,,,,,,,,,,,,,,,,,16,,,,,,41,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,,,,,,,,,,,,,,42,,,,,,20,,,,,,33,,,,,1,,,,,25,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,,,,,,,1,,,,,,,793,,21,,,,,,103,,36,,,,,,,1235,,,,,,,,,,,,,,,2,266,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,3
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,Maza,6007070,10,,,2,,,,,,,,,,,,,,,386,,,,,,,6,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,,,,,,,,,,,,,,,,,,,,,,,,,,1155,,,,,,,,,,23,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,,,,,,,3,,,,,,,,,155,,,,,,,,460,,122,,1,,,1059,,,,,,,,,,,,,,,46,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,,,,,,,,,,,,,,,,,661,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,,,,,,,,,,,,,,12,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,,,,,,,4,,,,4,,,,,46,,,7,,,,,141,,10,,,,,300,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
BUENOS AIRES,Alberti,Mechita,6021030,,,,,,,,,,,,,,275,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Almirante Brown,Adrogué,6028010,,1,,11,1,,39,4,,,9,,,3,,76,7,,6,16,,,,54,,442,,47,,,191,,,176,,8,,,,,297,,,,,11130,,,,,,,,,,,,,2789,,,,896,,,,,,,244,,,,,,,,,3236
BUENOS AIRES,Almirante Brown,Burzaco,6028010,50,1,,11,1,,26,31,,,77,,,17,,48,115,,14,87,,,,37,,1242,,14,,,97,,,30,,3,,,,,220,,,,,11056,,,,,,,,,,,,,1733,,,,3989,,,,,,,916,,,,,,,,,5803
BUENOS AIRES,Almirante Brown,Claypole,6028010,,,,,,,4,8,,,,,,3,,4,,,1,37,,,,1,,518,,4,,,2,,,12,,12,,,,,84,,,,,4056,,,,,,,,,,,,,479,,,,2222,,,,,,,490,,,,,,,,,2713
BUENOS AIRES,Almirante Brown,Don Orione,6028010,,,,,,,,,,,,,,,,,,,1,,,,,,,446,,,,,,,,,,,,,,,35,,,,,3,,,,,,,,,,,,,12,,,,1996,,,,,,,415,,,,,,,,,1436
BUENOS AIRES,Almirante Brown,Glew,6028010,,,,5,,,12,5,,,15,,,5,,39,29,,2,13,,,,20,,388,,8,,,14,,,16,,1,,,,,131,,,,,11598,,,,,,,,,,,,,711,,,,2801,,,,,,,759,,,,,,,,,1647
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,,,,,,,,2,,,,,,1,,2,,,1,15,,,,4,,525,,6,,,1,,,39,,10,,,,,117,,,,,1285,,,,,,,,,,,,,1017,,,,1579,,,,,,,374,,,,,,,,,2641
BUENOS AIRES,Almirante Brown,Longchamps,6028010,1,,,2,,,5,,,,,,,3,,24,,,4,1,,,,19,,721,,13,,,13,,,13,,1,,,,,133,,,,,7262,,,,,,,,,,,,,1040,,,,2555,,,,,,,652,,,,,,,,,3043
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,1,,,,,,,2,,,,,,,,,,,1,49,,,,,,168,,4,,,,,,4,,5,,,,,41,,,,,11,,,,,,,,,,,,,399,,,,1492,,,,,,,330,,,,,,,,,1964
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,,,,1,,,,,,,,,,,,5,,,2,,,,,2,,335,,,,,2,,,,,,,,,,16,,,,,4026,,,,,,,,,,,,,62,,,,1269,,,,,,,267,,,,,,,,,943
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,,,,3,,,12,32,,,,,,99,,28,339,,6,59,,,,10,,764,,2,,,13,,,2,,1,,,,,87,,,,,9869,,,,,,,,,,,,,781,,,,2964,,,,,,,641,,,,,,,,,3486
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,1,,,2,,,7,9,,,,,,40,,37,,,,134,,,,5,,151,,,,,7,,,1,,20,,,,,12,,,,,3146,,,,,,,,,,,,,74,,,,1469,,,,,,,283,,,,,,,,,1524
BUENOS AIRES,Almirante Brown,San Jose,6028010,,,,3,,,1,,,,,,,,,2,,,3,149,,,,,,569,,1,,,,,,2,,57,,,,,42,,,,,13,,,,,,,,,,,,,300,,,,3247,,,,,,,706,,,,,,,,,2776
BUENOS AIRES,Arrecifes,Arrecifes,6077010,,,,1,,,8,137,,,275,,,1011,,174,449,,,68,,,,304,,7,,,,,452,,,,,3372,,,,,7,,,,,3,,,,,,,,,,,,,1566,,,,,,,,,,,,,,,,,,,,480
BUENOS AIRES,Arrecifes,Todd,6077020,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,138,,,,,,,,,,1,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,13
BUENOS AIRES,Arrecifes,Viña,6077030,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Avellaneda,Avellaneda,6035010,24,,,7,5,,48,41,,,5,,,35,,345,,,16,44,,,,440,,298,,54,,,909,,,121,,80,,,,,257,,,,,2846,,,,,,,,,,,,,4877,,,,702,,,,,,,204,,,,,,,,,3522
BUENOS AIRES,Avellaneda,Crucesita,6035010,,,,,,,1,2,,,,,,2,,6,,,6,11,,,,3,,217,,20,,,1,,,86,,30,,,,,133,,,,,37,,,,,,,,,,,,,3318,,,,553,,,,,,,140,,,,,,,,,2241
BUENOS AIRES,Avellaneda,Dock Sud,6035010,2,,,1,,,5,6,,,,,,5,,,,,,245,,,,1,,59,,,,,1,,,,,230,,,,23,4,,,,,11,,,,,,,,,,,,,1259,,,,202,,,,,,,60,,,,,,,,,606
BUENOS AIRES,Avellaneda,Gerli,6035010,,,,1,,,2,2,,,,,,,,1,,,2,2,,,,,,527,,22,,,,,,42,,20,,,,,133,,,,,11,,,,,,,,,,,,,4440,,,,1008,,,,,,,206,,,,,,,,,2823
BUENOS AIRES,Avellaneda,Pineyro,6035010,1,,,4,,,2,4,,,3,,,1,,4,,,10,,,,,2,,368,,32,,,1,,,52,,16,,,,,167,,,,,32,,,,,,,,1,,,,,3042,,,,859,,,,,,,173,,,,,,,,,2461
BUENOS AIRES,Avellaneda,Sarandí,6035010,4,,,14,1,,40,6,,,3,,,4,,241,,,15,32,,,,147,,561,,29,,,1853,,,166,,102,,,,,285,,,,,3305,,,,,,,,,,,,,8029,,,,1448,,,,,,,327,,,,,,,,,4924
BUENOS AIRES,Avellaneda,Villa Domínico,6035010,,,,5,,,8,14,,,1,,,41,,2,,,6,156,,,,3,,567,,25,,,2,,,82,,88,,,,,197,,,,,23,,,,,,,,,,,,,6416,,,,2186,,,,,,,421,,,,,,,,,3800
BUENOS AIRES,Avellaneda,Wilde,6035010,1,,,6,,,42,7,,,1,,,3,,166,,,9,9,,,,365,,808,,48,,,2351,,,137,,86,,,,,282,,,,,2013,,,,,,,,,,,,,9815,,,,2157,,,,,,,446,,,,,,,,,5908
BUENOS AIRES,Ayacucho,Ayacucho,6042010,,,,,,,7,119,,,,,,,,126,,,,15,,,,764,,,,,,,1226,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Ayacucho,La Constancia,6042020,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Ayacucho,Solanet,6042030,,,,,,,,17,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Ayacucho,Udaquiola,6042040,,,,,1,,,31,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Azul,Azul,6049020,13,,,9,,,67,173,,,819,,,3,,959,,,130,9,,,,1029,,131,,177,,,709,,,292,,13,,,,,699,,,,,48,,,,,,,,2,,,,,7079,,,,,,,,,,,,,,,,,,,,4345
BUENOS AIRES,Azul,Cacharí,6049030,,,,,,,,,,,458,,,,,,,,56,5,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Azul,Chillar,6049040,,,,,1,,,,,,8,,,,,,545,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bahía Blanca,Bahía Blanca,6056010,4,2,,20,1,,254,137,,,81,,,365,,1990,200,,299,614,,7,,2881,1,265,3,348,2,3,1284,3,2,876,,47,1,,,,26128,,,,,1603,,,,,,,,,,,,,57863,,,59,,,,,,,,,,,,,,,,,19427
BUENOS AIRES,Bahía Blanca,Cabildo,6056020,,,,,,,,,,,,,,,,,9,,1,153,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bahía Blanca,General Daniel Cerri  (Est. General Cerri),6056030,,,,,,,2,,,,,,,,,26,,,1,20,,,,54,,,,2,,,321,,,6,,3,,,,,34,,,,,1,,,,,,,,,,,,,826,,,,,,,,,,,,,,,,,,,,477
BUENOS AIRES,Bahía Blanca,Ingeniero White,Sin Datos,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
BUENOS AIRES,Balcarce,Balcarce,6063010,8,,,,,,31,3,,,99,,,,,336,,,6,331,,,,818,,249,,62,,,598,,,52,,5,,,,,291,,,,,42,,,,,,,,,,,,,7871,,,,,,,,,,,,,,,,,,,,2160
BUENOS AIRES,Balcarce,Los Pinos,6063020,5,,,,,,,,,,5,,,,,,,,,17,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Balcarce,Napaleofú,6063030,,,,,,,,38,,,,,,23,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Balcarce,Ramos Otero,6063040,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Balcarce,San Agustín,6063050,24,,,,,,,,,,8,,,,,,,,,25,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Balcarce,Villa Laguna La Brava,6063060,,,,,,,,,,,1,,,,,,,,,16,,,,,,13,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Baradero,Baradero,6070010,,,,1,,,,59,,,,,,1078,,,,,3,760,,,,1,,930,,44,,,79,,,2,,65,,,,,411,,,,,13,,,,,,,,,,,,,4120,,,,,,,,,,,,,,,,,,,,1729
BUENOS AIRES,Baradero,Irineo Portela,6070020,,,,,,,,,,,,,,76,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Baradero,Santa Coloma,6070030,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Baradero,Villa Alsina  (Est. Alsina),6070040,,,,,,,,,,,,,,153,,,,,,14,,,,,,93,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Benito Juárez,Barker,6084010,1,,,1,,,,20,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Benito Juárez,Benito Juárez  (Est. Juárez),6084020,4,,,1,,,1,,,,,,,,,75,,,,,,,,442,,59,,1,,,914,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Benito Juárez,López,6084030,,,,,,,,,,,,,,12,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Benito Juárez,Villa Cacique  (Est. Alfredo Fortabat),6084050,,,,1,,,,50,,,43,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Berazategui,Berazategui,6091010,5,,,13,,,25,28,,,3,,,11,,99,34,,10,37,,,,171,,802,,54,,,3071,,,98,,44,,,,,321,,,,,3517,,,,,,,,,,,,,15081,,,,4562,,,,,,,1017,,,,,,,,,10478
BUENOS AIRES,Berazategui,Berazategui Oeste,6091010,,,,11,,,3,,,,,,,,,2,,,,67,,,,,,33,,,,,3,,,,,90,,,,,1,,,,,,,,,,,,,,,,,,10974,,,,30,,,,,,,6,,,,,,,,,2969
BUENOS AIRES,Berazategui,Carlos Tomás Sourigues,6091010,,,,,,,,,,,,,,,,4,,,1,,,,,14,,47,,,,,18,,,,,,,,,,4,,,,,106,,,,,,,,,,,,,994,,,,474,,,,,,,96,,,,,,,,,923
BUENOS AIRES,Berazategui,Centro Agrícola El Pato,6091010,,,,,,,,8,,,5,,,3,,,2,,1966,7,,,,,,83,,,,,20,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,11,,,,278,,,,,,,72,,,,,,,,,203
BUENOS AIRES,Berazategui,Guillermo E. Hudson,6091010,2,,,,,,5,1,,,,,,1,,31,,,3,7,,,,42,,287,,8,,,31,,,27,,18,,,,,108,,,,,2205,,,,,,,,,,,,,5460,,,,1624,,,,,,,412,,,,,,,,,3605
BUENOS AIRES,Berazategui,Juan María Gutierrez,6091010,,,,,,,19,7,,,3,,,35,,98,,,,19,,,,139,,47,,1,,,351,,,1,,35,,,,,20,,,,,3,,,,,,,,,,,,,2295,,,,475,,,,,,,73,,,,,,,,,1656
BUENOS AIRES,Berazategui,Pereyra,6091010,,,,,,,,,,,,,,,,12,,,,,,,,12,,,,1,,,14,,,1,,,,,,,19,,,,,268,,,,,,,,,,,,,111,,,,2,,,,,,,,,,,,,,,,78
BUENOS AIRES,Berazategui,Plátanos,6091010,3,,,,,,,1,,,,,,,,,,,1,1,,,,,,65,,,,,,,,,,8,,,,,3,,,,,,,,,,,,,,,,,,1509,,,,595,,,,,,,162,,,,,,,,,1012
BUENOS AIRES,Berazategui,Ranelagh,6091010,,,,1,,,8,4,,,,,,,,41,,,1,50,,,,11,,133,,1,,,12,,,2,,38,,,,,35,,,,,5646,,,,,,,,,,,,,1260,,,,849,,,,,,,165,,,,,,,,,1417
BUENOS AIRES,Berazategui,Villa España,6091010,,,,1,,,,,,,,,,,,,,,,,,,,,,92,,,,,1,,,1,,1,,,,,15,,,,,,,,,,,,,,,,,,1454,,,,361,,,,,,,75,,,,,,,,,933
BUENOS AIRES,Berisso,Barrio El Carmen (Este),Sin Datos,170,,,,,,,,,,,,,,,,,,,28,,,,9,,3,,,,,115,,,,,14,,,,,,,,,,20,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,15
BUENOS AIRES,Berisso,Berisso,6098010,2,,,8,,,162,4,,,1,,,2,,1706,,,8,294,,,,1443,,50,,180,,,1141,,,137,,27,,,,,5892,,,,,16,,,,,,,,,,,,,6764,,,,,,,,,,,,,,,,,,,,4632
BUENOS AIRES,Berisso,Villa Arguello,Sin Datos,172,,,,,,,,,,,,,,,,,,,28,,,,8,,2,,,,,115,,,,,14,,,,,,,,,,20,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,15
BUENOS AIRES,Berisso,Villa Nueva,Sin Datos,172,,,,,,,,,,,,,,,,,,,28,,,,8,,2,,,,,115,,,,,14,,,,,,,,,,20,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,15
BUENOS AIRES,Berisso,Villa Progreso,Sin Datos,167,,,,,,,,,,,,,,,,,,,28,,,,8,,2,,,,,116,,,,,15,,,,,,,,,,21,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,16
BUENOS AIRES,Bolívar,Hale,6105010,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bolívar,OTROS,Sin Datos,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bolívar,Paula,6105040,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bolívar,Pirovano,6105050,50,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bolívar,San Carlos de Bolívar  (Est. Bolívar),6105060,,,,,,,13,,,,1,,,,,367,,,6,3,,,,409,,30,,157,,,479,,,14,,3,,,,,300,,,,,12,,,,,,,,,,,,,3388,,,,,,,,,,,,,,,,,,,,969
BUENOS AIRES,Bolívar,Urdampilleta,6105070,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bragado,Bragado,6112010,,,,,,,16,2,,,93,,,125,,159,,,8,3,,,,239,,37,,188,,,306,,,6,,2,,,,,446,,,,,18,,,,,,,,,,,,,2408,,,,,,,,,,,,,,,,,,,,1133
BUENOS AIRES,Bragado,Comodoro Py,6112020,,,,,,,,,,,,,,154,,,,,,44,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
BUENOS AIRES,Bragado,General O'Brien,6112030,,,,,,,,,,,321,,,,,,83,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bragado,Irala,6112040,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bragado,Mechita (Est. Mecha),6112070,,,,,,,,,,,,,,10,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bragado,Olascoaga,6112080,,,,,,,,,,,,,,21,,,,,,6,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bragado,Warnes,6112090,,,,,,,,,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Brandsen,Coronel Brandsen,6119050,3,,,,,,12,5,,,17,,,46,,360,1,,149,,,,,646,,638,,,112,,1046,,,,,13,,,15,,2,,,,,5,,,,,,,,924,,,,,118,,,,,,,,,,92,,,,,,14,,,,254
BUENOS AIRES,Brandsen,Jeppener,6119070,7,,,,,,,23,,,45,,,44,,,,,378,,,,,69,,110,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Campana,Alto Los Cardales,6126010,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Campana,Barrio Los Pioneros,6126020,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
