Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,
BUENOS AIRES,Adolfo Alsina,Maza,6007070,- 0,- 0,- 0,390,- 0,2,- 0,14,406,
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,- 0,- 0,- 0,1.202,- 0,- 0,- 0,- 0,1.202,
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,151,- 0,- 0,- 0,9,- 0,- 0,- 0,160,
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,585,- 0,2,945,- 0,- 0,- 0,313,1.845,
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,- 0,- 0,- 0,630,- 0,- 0,- 0,59,689,
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,45,45,
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,14,14,
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,485,- 0,7,3,- 0,- 0,- 0,8,503,
BUENOS AIRES,Alberti,Mechita,6021030,285,- 0,- 0,- 0,- 0,- 0,- 0,- 0,285,
BUENOS AIRES,Almirante Brown,Adrogué,6028010,304,9.200,60,11.037,2,1,- 0,26,20.630,
BUENOS AIRES,Almirante Brown,Burzaco,6028010,207,15.809,36,10.987,6,2,- 0,292,27.339,
BUENOS AIRES,Almirante Brown,Claypole,6028010,8,7.461,3,4.077,13,- 0,- 0,2,11.564,
BUENOS AIRES,Almirante Brown,Don Orione,6028010,- 0,4.988,- 0,- 0,- 0,- 0,- 0,1,4.989,
BUENOS AIRES,Almirante Brown,Glew,6028010,80,7.424,10,11.516,12,- 0,- 0,54,19.096,
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,- 0,7.218,1,1.294,2,- 0,- 0,1,8.516,
BUENOS AIRES,Almirante Brown,Longchamps,6028010,61,9.308,21,7.199,4,- 0,- 0,1,16.594,
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,2,5.090,3,71,2,- 0,- 0,1,5.169,
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,8,3.278,4,4.004,- 0,- 0,- 0,1,7.295,
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,61,9.912,16,9.816,178,- 0,- 0,340,20.323,
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,55,4.038,6,3.201,127,- 0,- 0,2,7.429,
BUENOS AIRES,Almirante Brown,San Jose,6028010,3,8.781,2,227,- 0,3,- 0,1,9.017,
BUENOS AIRES,Arrecifes,Arrecifes,6077010,934,1.078,12,4.390,60,1,- 0,1.882,8.357,
BUENOS AIRES,Arrecifes,Todd,6077020,- 0,- 0,- 0,305,- 0,- 0,- 0,- 0,305,
BUENOS AIRES,Arrecifes,Viña,6077030,50,60,- 0,- 0,- 0,- 0,- 0,- 0,110,
BUENOS AIRES,Avellaneda,Avellaneda,6035010,1.697,8.702,48,5.354,68,5,- 0,87,15.961,
BUENOS AIRES,Avellaneda,Crucesita,6035010,1,4.997,- 0,2.510,2,- 0,- 0,- 0,7.510,
BUENOS AIRES,Avellaneda,Dock Sud,6035010,12,640,- 0,2.215,12,- 0,- 0,26,2.905,
BUENOS AIRES,Avellaneda,Gerli,6035010,4,6.174,- 0,3.852,- 0,- 0,- 0,- 0,10.030,
BUENOS AIRES,Avellaneda,Pineyro,6035010,14,5.936,1,2.052,- 0,- 0,- 0,- 0,8.003,
BUENOS AIRES,Avellaneda,Sarandí,6035010,2.235,10.118,67,10.544,4,2,- 0,1,22.971,
BUENOS AIRES,Avellaneda,Villa Domínico,6035010,18,8.942,2,5.997,11,- 0,- 0,191,15.161,
BUENOS AIRES,Avellaneda,Wilde,6035010,2.910,12.717,68,10.837,8,- 0,- 0,- 0,26.540,
BUENOS AIRES,Ayacucho,Ayacucho,6042010,2.103,- 0,2,1,- 0,- 0,- 0,134,2.240,
BUENOS AIRES,Ayacucho,La Constancia,6042020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,10,10,
BUENOS AIRES,Ayacucho,Solanet,6042030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,27,27,
BUENOS AIRES,Ayacucho,Udaquiola,6042040,- 0,- 0,- 0,- 0,- 0,1,- 0,46,47,
BUENOS AIRES,Azul,Azul,6049020,2.740,13.061,52,83,17,2,- 0,1.146,17.101,
BUENOS AIRES,Azul,Cacharí,6049030,- 0,- 0,2,- 0,- 0,- 0,- 0,521,523,
BUENOS AIRES,Azul,Chillar,6049040,- 0,- 0,- 0,- 0,- 0,1,- 0,565,566,
BUENOS AIRES,Bahía Blanca,Bahía Blanca,6056010,5.081,101.687,405,7.470,75,7,- 0,2.825,117.550,
BUENOS AIRES,Bahía Blanca,Cabildo,6056020,- 0,193,4,- 0,3,- 0,- 0,153,353,
BUENOS AIRES,Bahía Blanca,General Daniel Cerri  (Est. General Cerri),6056030,401,1.404,1,- 0,- 0,- 0,- 0,20,1.826,
BUENOS AIRES,Bahía Blanca,Ingeniero White,Sin datos,- 0,- 0,- 0,1,- 0,3,- 0,- 0,4,
BUENOS AIRES,Balcarce,Balcarce,6063010,1.545,10.578,38,52,9,- 0,- 0,883,13.105,
BUENOS AIRES,Balcarce,Los Pinos,6063020,- 0,- 0,- 0,- 0,9,- 0,- 0,30,39,
BUENOS AIRES,Balcarce,Napaleofú,6063030,- 0,- 0,- 0,15,- 0,- 0,- 0,50,65,
BUENOS AIRES,Balcarce,Ramos Otero,6063040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,8,8,
BUENOS AIRES,Balcarce,San Agustín,6063050,- 0,- 0,- 0,- 0,3,- 0,- 0,72,75,
BUENOS AIRES,Balcarce,Villa Laguna La Brava,6063060,- 0,- 0,- 0,- 0,- 0,- 0,- 0,34,34,
BUENOS AIRES,Baradero,Baradero,6070010,2.146,6.441,- 0,11,- 0,1,- 0,809,9.408,
BUENOS AIRES,Baradero,Villa Alsina  (Est. Alsina),6070040,130,- 0,- 0,- 0,- 0,- 0,- 0,150,280,
BUENOS AIRES,Baradero,Irineo Portela,6070020,- 0,- 0,- 0,1,- 0,- 0,- 0,76,77,
BUENOS AIRES,Baradero,Santa Coloma,6070030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,53,53,
BUENOS AIRES,Benito Juárez,Barker,6084010,- 0,- 0,1,10,- 0,2,- 0,70,83,
BUENOS AIRES,Benito Juárez,Benito Juárez  (Est. Juárez),6084020,812,- 0,20,563,4,1,- 0,147,1.547,
BUENOS AIRES,Benito Juárez,López,6084030,- 0,- 0,- 0,4,- 0,- 0,- 0,12,16,
BUENOS AIRES,Benito Juárez,Villa Cacique  (Est. Alfredo Fortabat),6084050,- 0,- 0,- 0,20,- 0,1,- 0,100,121,
BUENOS AIRES,Berazategui,Berazategui,6091010,3.359,20.584,43,18.206,15,4,- 0,49,42.260,
BUENOS AIRES,Berazategui,Berazategui Oeste,6091010,16,81,- 0,14.331,- 0,- 0,- 0,- 0,14.428,
BUENOS AIRES,Berazategui,Carlos Tomás Sourigues,6091010,36,1.540,- 0,1.363,- 0,- 0,- 0,- 0,2.939,
BUENOS AIRES,Berazategui,Centro Agrícola El Pato,6091010,2.046,705,- 0,1,- 0,- 0,- 0,16,2.768,
BUENOS AIRES,Berazategui,Guillermo E. Hudson,6091010,165,6.859,2,8.121,1,- 0,- 0,- 0,15.148,
BUENOS AIRES,Berazategui,Juan María Gutierrez,6091010,605,2.384,4,2.751,- 0,- 0,- 0,44,5.788,
BUENOS AIRES,Berazategui,Pereyra,6091010,38,233,1,265,- 0,- 0,- 0,- 0,537,
BUENOS AIRES,Berazategui,Plátanos,6091010,- 0,1.842,- 0,1.919,1,- 0,- 0,- 0,3.762,
BUENOS AIRES,Berazategui,Ranelagh,6091010,74,3.036,13,7.003,- 0,1,- 0,1,10.128,
BUENOS AIRES,Berazategui,Villa España,6091010,2,1.499,- 0,1.673,- 0,- 0,- 0,- 0,3.174,
BUENOS AIRES,Berisso,Berisso,6098010,4.453,12.188,23,6.205,6,- 0,- 0,368,23.243,
BUENOS AIRES,Berisso,Villa Nueva,Sin datos,- 0,- 0,- 0,132,- 0,- 0,- 0,250,382,
BUENOS AIRES,Berisso,Barrio El Carmen (Este),Sin datos,- 0,- 0,- 0,132,- 0,- 0,- 0,250,382,
BUENOS AIRES,Berisso,Villa Arguello,Sin datos,- 0,- 0,- 0,132,- 0,- 0,- 0,250,382,
BUENOS AIRES,Berisso,Villa Progreso,Sin datos,- 0,- 0,- 0,132,- 0,- 0,- 0,250,382,
BUENOS AIRES,Bolívar,OTROS,Sin datos,- 0,1,- 0,1,- 0,- 0,- 0,- 0,2,
BUENOS AIRES,Bolívar,Pirovano,6105050,- 0,- 0,- 0,- 0,50,- 0,- 0,45,95,
BUENOS AIRES,Bolívar,San Carlos de Bolívar  (Est. Bolívar),6105060,1.004,4.928,2,13,- 0,- 0,- 0,255,6.202,
BUENOS AIRES,Bolívar,Urdampilleta,6105070,- 0,- 0,6,3,- 0,- 0,- 0,71,80,
BUENOS AIRES,Bolívar,Paula,6105040,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
BUENOS AIRES,Bolívar,Hale,6105010,10,- 0,- 0,- 0,- 0,- 0,- 0,- 0,10,
BUENOS AIRES,Bragado,Bragado,6112010,716,4.295,10,11,- 0,- 0,- 0,210,5.242,
BUENOS AIRES,Bragado,General O'Brien,6112030,321,- 0,- 0,83,- 0,- 0,- 0,31,435,
BUENOS AIRES,Bragado,Irala,6112040,- 0,3,- 0,- 0,- 0,- 0,- 0,22,25,
BUENOS AIRES,Bragado,Mechita (Est. Mecha),6112070,10,12,- 0,- 0,- 0,- 0,- 0,12,34,
BUENOS AIRES,Bragado,Warnes,6112090,135,- 0,- 0,- 0,9,- 0,- 0,7,151,
BUENOS AIRES,Bragado,Comodoro Py,6112020,- 0,- 0,- 0,220,- 0,- 0,- 0,2,222,
BUENOS AIRES,Bragado,Olascoaga,6112080,- 0,- 0,- 0,- 0,- 0,- 0,- 0,40,40,
BUENOS AIRES,Brandsen,Coronel Brandsen,6119050,1.925,256,- 0,1.156,1,- 0,- 0,1.125,4.463,
BUENOS AIRES,Brandsen,Jeppener,6119070,676,- 0,- 0,2,- 0,- 0,- 0,- 0,678,
BUENOS AIRES,Campana,Campana,6126030,2.685,17.393,1,8.171,18,3,- 0,43,28.314,
BUENOS AIRES,Campana,Lomas del Río Luján (Est. Río Luján),6126040,- 0,44,- 0,- 0,- 0,- 0,- 0,- 0,44,
BUENOS AIRES,Campana,Alto Los Cardales,6126010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,41,41,
BUENOS AIRES,Campana,Barrio Los Pioneros,6126020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,40,40,
BUENOS AIRES,Campana,Chacras Del Río Luján,6126035,- 0,- 0,- 0,- 0,- 0,- 0,- 0,35,35,
BUENOS AIRES,Cañuelas,Alejandro Petión,6134010,227,823,7,- 0,- 0,- 0,- 0,42,1.099,
BUENOS AIRES,Cañuelas,Barrio El Taladro,6134020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5,5,
BUENOS AIRES,Cañuelas,Cañuelas,6134030,1.306,5.229,34,2.263,- 0,1,- 0,525,9.358,
BUENOS AIRES,Cañuelas,Máximo Paz,6134050,- 0,2.244,- 0,4,- 0,- 0,- 0,270,2.518,
BUENOS AIRES,Cañuelas,Santa Rosa,6134060,- 0,- 0,- 0,1,- 0,2,- 0,233,236,
BUENOS AIRES,Cañuelas,Uribelarrea,6134070,60,- 0,- 0,403,- 0,- 0,- 0,20,483,
BUENOS AIRES,Cañuelas,Vicente Casares,6134080,243,- 0,2,- 0,- 0,- 0,- 0,25,270,
BUENOS AIRES,Cañuelas,Barrio Belgrano-Máximo Paz,6134030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,48,48,
BUENOS AIRES,Cañuelas,Gobernador Udaondo,6134040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,20,20,
BUENOS AIRES,Capitán Sarmiento,Capitán Sarmiento,6140010,192,3.925,- 0,1,- 0,- 0,- 0,89,4.207,
BUENOS AIRES,Capitán Sarmiento,La Luisa,6140020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,44,44,
BUENOS AIRES,Carlos Casares,Cadret,6147020,- 0,- 0,- 0,- 0,1,- 0,- 0,48,49,
BUENOS AIRES,Carlos Casares,Carlos Casares,6147030,1.553,1.130,8,2,- 0,- 0,- 0,2.461,5.154,
BUENOS AIRES,Carlos Casares,La Sofía,6147060,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1,1,
BUENOS AIRES,Carlos Casares,Moctezuma,6147080,- 0,- 0,- 0,- 0,- 0,- 0,- 0,152,152,
BUENOS AIRES,Carlos Casares,Santo Tomás,6147095,- 0,- 0,- 0,- 0,- 0,- 0,- 0,44,44,
BUENOS AIRES,Carlos Casares,Smith,6147100,- 0,- 0,- 0,- 0,- 0,- 0,- 0,191,191,
BUENOS AIRES,Carlos Casares,Mauricio Hirsch,6147070,- 0,- 0,- 0,- 0,- 0,- 0,- 0,47,47,
BUENOS AIRES,Carlos Casares,Bellocq,6147010,- 0,- 0,1,- 0,- 0,- 0,- 0,- 0,1,
BUENOS AIRES,Carlos Tejedor,Carlos Tejedor,6154010,20,476,1,68,- 0,- 0,- 0,1.188,1.753,
BUENOS AIRES,Carlos Tejedor,Colonia Seré,6154020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,81,81,
BUENOS AIRES,Carlos Tejedor,Tres Algarrobos  (Est. Cuenca),6154050,- 0,- 0,- 0,- 0,- 0,1,- 0,198,199,
BUENOS AIRES,Carlos Tejedor,Curarú,6154030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,16,16,
BUENOS AIRES,Carlos Tejedor,Timote,6154040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,61,61,
BUENOS AIRES,Carmen de Areco,Carmen de Areco,6161010,402,1.610,5,1,1,- 0,- 0,905,2.924,
BUENOS AIRES,Carmen de Areco,Pueblo Gouin,6161020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,31,31,
BUENOS AIRES,Carmen de Areco,Tres Sargentos,6161030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,107,107,
BUENOS AIRES,Castelli,Castelli,6168010,69,1.109,- 0,1.121,- 0,2,- 0,28,2.329,
BUENOS AIRES,Castelli,Centro Guerrero,6168020,- 0,- 0,- 0,46,- 0,- 0,- 0,3,49,
BUENOS AIRES,Castelli,Cerro De La Gloria,6168030,- 0,- 0,- 0,7,- 0,- 0,- 0,- 0,7,
BUENOS AIRES,Chacabuco,Castilla,6210010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,274,274,
BUENOS AIRES,Chacabuco,Chacabuco,6210020,1.008,9.596,16,34,- 0,- 0,- 0,2,10.656,
BUENOS AIRES,Chacabuco,O'Higgins,6210040,54,95,- 0,- 0,- 0,- 0,- 0,12,161,
BUENOS AIRES,Chacabuco,Rawson,6210050,73,- 0,- 0,304,28,- 0,- 0,128,533,
BUENOS AIRES,Chascomús,Chascomús,6217010,2.247,7.252,85,1.170,- 0,1,- 0,- 0,10.755,
BUENOS AIRES,Chascomús,Manuel J. Cobo  (Est. Lezama),6217020,105,1.718,- 0,- 0,- 0,- 0,444,- 0,2.267,
BUENOS AIRES,Chascomús,Barrio San Cayetano,Sin datos,- 0,- 0,- 0,132,- 0,- 0,- 0,- 0,132,
BUENOS AIRES,Chivilcoy,Chivilcoy,6224010,2.832,9.300,120,19,1,1,- 0,3.172,15.445,
BUENOS AIRES,Chivilcoy,La Rica,6224040,2,- 0,- 0,- 0,- 0,- 0,- 0,97,99,
BUENOS AIRES,Chivilcoy,Moquehuá,6224050,- 0,338,- 0,505,- 0,- 0,- 0,29,872,
BUENOS AIRES,Chivilcoy,Ramón Biaus,6224060,3,- 0,- 0,- 0,- 0,- 0,- 0,47,50,
BUENOS AIRES,Chivilcoy,San Sebastián,6224070,2,- 0,- 0,- 0,- 0,- 0,- 0,49,51,
BUENOS AIRES,Chivilcoy,Gorostiaga,6224030,55,- 0,- 0,- 0,- 0,- 0,- 0,2,57,
BUENOS AIRES,Colón,Colón,6175010,4.154,1.496,- 0,1.794,- 0,- 0,- 0,20,7.464,
BUENOS AIRES,Colón,Sarasa,6175040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,7,7,
BUENOS AIRES,Coronel de Marina L. Rosales,Balneario Pehuen Co,6182020,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
BUENOS AIRES,Coronel de Marina L. Rosales,Punta Alta  (Est Almirante Solier),6182030,939,20.093,49,13,- 0,6,- 0,- 0,21.100,
BUENOS AIRES,Coronel de Marina L. Rosales,Villa General Arias  (Est. Kilómetro 638),6182050,- 0,- 0,- 0,- 0,- 0,- 0,- 0,10,10,
BUENOS AIRES,Coronel de Marina L. Rosales,Pago Chico,6182025,- 0,- 0,- 0,- 0,- 0,- 0,- 0,62,62,
BUENOS AIRES,Coronel de Marina L. Rosales,Bajo Hondo,6182010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,74,74,
BUENOS AIRES,Coronel Dorrego,Coronel Dorrego,6189030,240,1.110,3,7,- 0,- 0,- 0,32,1.392,
BUENOS AIRES,Coronel Dorrego,El Perdido  (Est. José A. Guisasola),6189040,- 0,- 0,- 0,32,- 0,- 0,- 0,5,37,
BUENOS AIRES,Coronel Dorrego,Oriente,6189070,- 0,- 0,- 0,587,- 0,- 0,- 0,48,635,
BUENOS AIRES,Coronel Dorrego,Balneario Marisol,6189020,- 0,- 0,- 0,342,- 0,- 0,- 0,- 0,342,
BUENOS AIRES,Coronel Pringles,Coronel Pringles  (Est. Pringles),6196010,672,2.056,3,1,3,- 0,- 0,171,2.906,
BUENOS AIRES,Coronel Pringles,Indio Rico,6196040,- 0,- 0,1,24,- 0,- 0,- 0,3,28,
BUENOS AIRES,Coronel Suárez,Coronel Suárez,6203020,854,2.334,88,1.605,- 0,- 0,- 0,785,5.666,
BUENOS AIRES,Coronel Suárez,Huanguelén,6203050,- 0,- 0,1,1.384,- 0,- 0,- 0,527,1.912,
BUENOS AIRES,Coronel Suárez,Pasman,6203060,- 0,- 0,- 0,- 0,- 0,- 0,- 0,48,48,
BUENOS AIRES,Coronel Suárez,San José,6203070,- 0,42,- 0,706,- 0,- 0,- 0,- 0,748,
BUENOS AIRES,Coronel Suárez,Santa María,6203080,- 0,16,- 0,465,- 0,- 0,- 0,- 0,481,
BUENOS AIRES,Coronel Suárez,Santa Trinidad,6203090,- 0,70,- 0,550,- 0,- 0,- 0,- 0,620,
BUENOS AIRES,Coronel Suárez,Villa La Arcadia,6203100,- 0,104,- 0,72,- 0,- 0,- 0,- 0,176,
BUENOS AIRES,Daireaux,Daireaux,6231030,294,- 0,- 0,- 0,194,50,- 0,339,877,
BUENOS AIRES,Daireaux,Salazar,6231060,- 0,- 0,- 0,- 0,- 0,- 0,- 0,79,79,
BUENOS AIRES,Dolores,Dolores,6238010,1.615,10.173,1,17,- 0,- 0,325,- 0,12.131,
BUENOS AIRES,Dolores,Sevigne,6238020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1,1,
BUENOS AIRES,Ensenada,Ensenada,6245010,1.612,10.525,18,2.934,6,- 0,- 0,2.092,17.187,
BUENOS AIRES,Ensenada,Villa Catela,Sin datos,- 0,- 0,- 0,- 0,- 0,- 0,- 0,7,7,
BUENOS AIRES,Escobar,Belen de Escobar,6252010,3.673,19.322,21,4.846,333,1,- 0,97,28.293,
BUENOS AIRES,Escobar,El cazador,6252010,- 0,919,- 0,2.146,- 0,- 0,- 0,- 0,3.065,
BUENOS AIRES,Escobar,Garín,6252010,5.048,9.084,3,2.792,2,1,- 0,11,16.941,
BUENOS AIRES,Escobar,Ingeniero Maschwitz,6252010,1.483,4.897,3,1.688,1,- 0,- 0,300,8.372,
BUENOS AIRES,Escobar,Loma Verde,6252010,- 0,- 0,- 0,934,- 0,- 0,- 0,- 0,934,
BUENOS AIRES,Escobar,Maquinista F. Savio (este),6252010,778,4.093,- 0,13,2,- 0,- 0,14,4.900,
BUENOS AIRES,Escobar,Matheu,6252010,1.707,2.275,2,1,3,1,- 0,58,4.047,
BUENOS AIRES,Esteban Echeverría,9 De Abril,6260010,378,6.030,6,18,1,- 0,- 0,153,6.586,
BUENOS AIRES,Esteban Echeverría,Canning,6260010,4,3.420,- 0,995,1,- 0,- 0,101,4.521,
BUENOS AIRES,Esteban Echeverría,El Jagüel,6260010,- 0,6.681,- 0,6,2,1,- 0,89,6.779,
BUENOS AIRES,Esteban Echeverría,Luis Guillón,6260010,5,7.225,2,1.670,1,- 0,- 0,77,8.980,
BUENOS AIRES,Esteban Echeverría,Monte Grande,6260010,363,27.227,61,24.053,9,4,- 0,312,52.029,
BUENOS AIRES,Esteban Echeverría,Zona Aeropuerto Internacional Ezeiza,6260010,2,- 0,- 0,- 0,- 0,- 0,- 0,- 0,2,
BUENOS AIRES,Exaltación de la Cruz,Arroyo de la Cruz,6266010,- 0,- 0,- 0,- 0,1,- 0,- 0,92,93,
BUENOS AIRES,Exaltación de la Cruz,Capilla del Señor  (Est. Capilla),6266020,394,- 0,6,81,- 0,- 0,- 0,- 0,481,
BUENOS AIRES,Exaltación de la Cruz,Los Cardales,6266040,2,7.166,2,- 0,- 0,1,- 0,- 0,7.171,
BUENOS AIRES,Exaltación de la Cruz,OTROS,Sin datos,- 0,- 0,- 0,- 0,- 0,- 0,- 0,84,84,
BUENOS AIRES,Exaltación de la Cruz,Parada Orlando,6266050,- 0,- 0,- 0,- 0,- 0,1,- 0,30,31,
BUENOS AIRES,Exaltación de la Cruz,Parada Robles - Pavón,6266060,2.709,- 0,- 0,230,- 0,- 0,- 0,- 0,2.939,
BUENOS AIRES,Ezeiza,Aeropuerto Internacional Ezeiza,6270010,278,- 0,3,7,- 0,1,- 0,- 0,289,
BUENOS AIRES,Ezeiza,Canning,6270010,267,1.581,1,988,1,- 0,- 0,35,2.873,
BUENOS AIRES,Ezeiza,Carlos Spegazzini,6270010,516,4.850,2,643,- 0,1,- 0,1,6.013,
BUENOS AIRES,Ezeiza,José Maria Ezeiza,6270010,791,13.024,13,4.811,- 0,2,- 0,90,18.731,
BUENOS AIRES,Ezeiza,La Unión,6270010,138,8.340,1,944,- 0,2,- 0,- 0,9.425,
BUENOS AIRES,Ezeiza,OTROS,Sin datos,3,1,- 0,5,- 0,- 0,- 0,- 0,9,
BUENOS AIRES,Ezeiza,Tristán Suarez,6270010,1.009,9.334,5,1.036,- 0,- 0,- 0,5,11.389,
BUENOS AIRES,Florencio Varela,Bosques,6274010,74,7.664,3,2.860,13,- 0,- 0,266,10.880,
BUENOS AIRES,Florencio Varela,Estanislao Severo Zeballos,6274010,77,2.740,4,3.236,- 0,- 0,- 0,- 0,6.057,
BUENOS AIRES,Florencio Varela,Florencio Varela,6274010,888,19.271,30,20.429,234,3,- 0,811,41.666,
BUENOS AIRES,Florencio Varela,Gobernador Julio A. Costa,6274010,31,7.489,6,315,- 0,- 0,- 0,- 0,7.841,
BUENOS AIRES,Florencio Varela,Ingeniero Juan Allan,6274010,2.506,4.583,- 0,876,- 0,- 0,- 0,- 0,7.965,
BUENOS AIRES,Florencio Varela,La Capilla,6274010,- 0,- 0,- 0,4,- 0,- 0,- 0,- 0,4,
BUENOS AIRES,Florencio Varela,la rotonda,6274010,357,- 0,- 0,- 0,- 0,- 0,- 0,- 0,357,
BUENOS AIRES,Florencio Varela,Villa Brown,6274010,- 0,84,- 0,247,- 0,- 0,- 0,- 0,331,
BUENOS AIRES,Florencio Varela,Villa San Luis,6274010,- 0,322,- 0,1,- 0,- 0,- 0,- 0,323,
BUENOS AIRES,Florencio Varela,Villa Santa Rosa,6274010,61,3.920,1,159,- 0,- 0,- 0,- 0,4.141,
BUENOS AIRES,Florencio Varela,Villa Vatteone,6274010,31,4.842,1,1.335,- 0,- 0,- 0,- 0,6.209,
BUENOS AIRES,Florentino Ameghino,Blaquier,6277010,- 0,- 0,- 0,- 0,- 0,1,- 0,5,6,
BUENOS AIRES,Florentino Ameghino,Florentino Ameghino,6277020,143,- 0,- 0,297,- 0,- 0,- 0,- 0,440,
BUENOS AIRES,Florentino Ameghino,Porvenir,6277030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,2,2,
BUENOS AIRES,General Alvarado,Comandante Nicanor Otamendi,6280010,- 0,- 0,3,930,- 0,1,- 0,31,965,
BUENOS AIRES,General Alvarado,Mar del Sur,6280020,- 0,- 0,2,- 0,- 0,- 0,- 0,142,144,
BUENOS AIRES,General Alvarado,Mechongué,6280030,256,- 0,- 0,- 0,- 0,- 0,- 0,3,259,
BUENOS AIRES,General Alvarado,Miramar,6280040,4.876,1.508,75,2,2,1,- 0,957,7.421,
BUENOS AIRES,General Alvarado,Centinela Del Mar,6280005,- 0,- 0,- 0,- 0,- 0,1,- 0,1,2,
BUENOS AIRES,General Alvear,General Alvear,6287010,- 0,- 0,- 0,1,- 0,- 0,- 0,- 0,1,
BUENOS AIRES,General Arenales,Arribeños,6294010,305,301,1,144,15,- 0,- 0,261,1.027,
BUENOS AIRES,General Arenales,Ascensión,6294020,1.200,505,- 0,- 0,250,- 0,- 0,139,2.094,
BUENOS AIRES,General Arenales,Ferré,6294040,- 0,152,- 0,184,- 0,- 0,- 0,449,785,
BUENOS AIRES,General Arenales,General Arenales,6294050,- 0,883,1,30,- 0,- 0,- 0,181,1.095,
